icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
7609f1,1669345260,,1669346127,,FJL670  ,,,,,0,0
78122c,1669346238,,1669347028,,CES6415 ,,,,,0,0
8832b6,1669343163,,1669345791,,TLM533  ,,,,,0,0
899072,1669345474,RCSS,1669347543,,UIA8811 ,2877,444,,,0,0
a5d5ae,1669342781,KMDW,1669348499,KLGA,SWA451  ,754,32,438,97,0,3
a715f5,1669346664,KTZR,1669347989,7OI9,N556CP  ,9084,59,1731,562,2,12
c066fb,1669343406,CYUL,1669347389,CYHZ,ACA670  ,946,43,1421,38,0,1
e49476,1669342753,,1669345198,,GLO7882 ,,,,,0,0
4a08e9,1669346384,LRIA,1669348437,LROP,ROT710T ,8467,1723,1957,71,0,2
71c354,1669342202,RKTN,1669346997,RJAA,TWB201  ,3518,459,27651,2052,0,0
80145c,1669346933,,1669348523,,IGO211  ,,,,,0,0
880856,1669344529,,1669346420,,AIQ3555 ,,,,,0,0
8881a1,1669346823,,1669348125,VTBS,BAV325  ,,,7301,318,0,1
89913c,1669345216,RCKH,1669346283,RCWA,UIA8697 ,5505,790,18402,1671,0,0
7c2bc0,1669347112,YPJT,1669348289,YPJT,IXE     ,603,30,1502,61,0,2
7c2bc0,1669344671,YPJT,1669345971,YPJT,IXE     ,161,0,683,0,0,2
7c2bc0,1669342215,YPJT,1669343484,YPJT,IXE     ,403,0,1069,30,0,2
7c6ae7,1669344821,,1669346030,YPAD,SVY23   ,,,1972,24,0,3
aa9b20,1669343529,KAUS,1669345458,KDAL,SWA742  ,1166,71,2955,26,3,9
ac0027,1669343250,KMDW,1669348116,KPHL,SWA980  ,1078,115,2014,49,0,11
ac7419,1669342625,KMCO,1669346303,KATL,NKS770  ,1904,199,1993,38,1,21
adab36,1669343489,KATL,1669346579,,DAL674  ,376,45,,,1,0
c06363,1669343316,CYHM,1669344250,CYTZ,POE9827 ,738,6,255,15,0,3
c8153a,1669342217,NZRT,1669342865,NZCH,ZKPJB   ,290,158,1136,145,0,3
c8298c,1669341711,NZCH,1669344356,NZCH,ZKHWA   ,758,145,750,145,1,3
c87f36,1669342772,NZOH,1669346044,NZWP,KNG50   ,3016,681,810,53,0,3
0d0a24,1669344228,,1669345193,MMMX,TAO426  ,,,1305,96,0,1
0d0e20,1669347577,,1669348368,MMMX,AMX947  ,,,10144,376,0,1
71c297,1669346632,RKSS,1669348657,,JJA113  ,268,10,,,2,0
780644,1669345816,ZGSZ,1669346453,,CSN3255 ,5025,674,,,0,0
7c2a8d,1669344591,YSSY,1669345319,YSMB,IOV     ,12146,36,25985,12,0,0
7c5dd0,1669346792,,1669348730,YSCB,STE     ,,,846,11,0,1
7c6de2,1669342511,YMML,1669344458,,QFA1009 ,2228,48,,,1,0
a30a0e,1669343893,KLAS,1669346277,KSNA,SWA2325 ,1128,138,2101,9,2,2
a07b9a,1669342095,KOSU,1669343056,OH99,N130EE  ,10503,62,16263,309,2,9
a0b643,1669343559,KF70,1669344807,KMYF,N145LF  ,5463,68,3090,212,4,5
a332e6,1669344228,KABQ,1669345604,,        ,5507,470,,,0,0
